episode_index,timestamp,action_0,action_1,action_2,action_3,action_4,action_5,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw
0,0.000,0.012,0.000,-0.008,0.004,0.000,0.002,0.100,-1.200,1.310,-1.650,-1.570,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.120,0.300,0.000,0.707,0.707,0.000
0,0.033,0.010,0.002,-0.006,0.004,0.001,0.001,0.100,-1.200,1.310,-1.650,-1.570,0.020,0.020,0.000,-0.010,0.004,0.000,0.001,0.421,0.120,0.300,0.000,0.707,0.707,0.000
0,0.066,0.008,0.002,-0.004,0.003,0.001,0.001,0.111,-1.199,1.302,-1.646,-1.570,0.022,0.018,0.001,-0.012,0.004,0.000,0.001,0.422,0.120,0.299,0.000,0.707,0.707,0.000
0,0.099,0.006,0.001,-0.003,0.002,0.000,0.000,0.121,-1.197,1.296,-1.642,-1.569,0.023,0.014,0.001,-0.008,0.003,0.000,0.001,0.423,0.119,0.299,0.000,0.707,0.707,0.000
1,0.000,0.014,-0.001,-0.007,0.004,0.000,0.002,0.090,-1.190,1.300,-1.640,-1.565,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.418,0.125,0.301,0.000,0.707,0.707,0.000
1,0.033,0.012,0.000,-0.006,0.003,0.001,0.001,0.090,-1.190,1.300,-1.640,-1.565,0.015,0.022,0.000,-0.011,0.004,0.000,0.001,0.419,0.125,0.300,0.000,0.707,0.707,0.000
1,0.066,0.009,0.001,-0.005,0.003,0.000,0.001,0.103,-1.191,1.293,-1.636,-1.565,0.017,0.019,0.001,-0.010,0.004,0.000,0.001,0.420,0.124,0.300,0.000,0.707,0.707,0.000
1,0.099,0.006,0.001,-0.003,0.002,0.000,0.000,0.115,-1.191,1.287,-1.633,-1.564,0.018,0.015,0.001,-0.007,0.003,0.000,0.001,0.421,0.124,0.299,0.000,0.707,0.707,0.000
2,0.000,0.011,0.001,-0.008,0.004,0.000,0.002,0.112,-1.205,1.315,-1.655,-1.575,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.118,0.300,0.000,0.707,0.707,0.000
2,0.033,0.010,0.002,-0.007,0.004,0.001,0.001,0.112,-1.205,1.315,-1.655,-1.575,0.025,0.020,0.000,-0.012,0.004,0.000,0.001,0.424,0.118,0.300,0.000,0.707,0.707,0.000
2,0.066,0.008,0.001,-0.005,0.003,0.001,0.001,0.123,-1.204,1.307,-1.651,-1.575,0.027,0.018,0.001,-0.011,0.004,0.000,0.001,0.425,0.117,0.299,0.000,0.707,0.707,0.000
2,0.099,0.005,0.001,-0.003,0.002,0.000,0.000,0.133,-1.202,1.300,-1.648,-1.574,0.028,0.014,0.001,-0.008,0.003,0.000,0.001,0.426,0.117,0.299,0.000,0.707,0.707,0.000
