episode_index,timestamp,estimate_x,estimate_y,estimate_z,estimate_qx,estimate_qy,estimate_qz,estimate_qw,reference_x,reference_y,reference_z,reference_qx,reference_qy,reference_qz,reference_qw
0,0.000,0.502,0.104,0.221,0.000,0.000,0.012,0.9999,0.500,0.100,0.220,0.000,0.000,0.000,1.000
0,0.033,0.503,0.104,0.222,0.000,0.000,0.010,0.9999,0.500,0.100,0.220,0.000,0.000,0.000,1.000
0,0.066,0.501,0.103,0.221,0.000,0.000,0.010,0.9999,0.500,0.100,0.220,0.000,0.000,0.000,1.000
0,0.099,0.504,0.102,0.219,0.000,0.000,0.009,0.9999,0.500,0.100,0.220,0.000,0.000,0.000,1.000
1,0.000,0.492,0.126,0.219,0.000,0.000,-0.013,0.9999,0.490,0.123,0.220,0.000,0.000,0.000,1.000
1,0.033,0.493,0.126,0.220,0.000,0.000,-0.011,0.9999,0.490,0.123,0.220,0.000,0.000,0.000,1.000
1,0.066,0.491,0.125,0.221,0.000,0.000,-0.010,0.9999,0.490,0.123,0.220,0.000,0.000,0.000,1.000
1,0.099,0.492,0.124,0.220,0.000,0.000,-0.009,0.9999,0.490,0.123,0.220,0.000,0.000,0.000,1.000
2,0.000,0.516,0.085,0.222,0.000,0.000,0.014,0.9999,0.514,0.082,0.221,0.000,0.000,0.000,1.000
2,0.033,0.517,0.086,0.223,0.000,0.000,0.012,0.9999,0.514,0.082,0.221,0.000,0.000,0.000,1.000
2,0.066,0.516,0.084,0.222,0.000,0.000,0.011,0.9999,0.514,0.082,0.221,0.000,0.000,0.000,1.000
2,0.099,0.515,0.085,0.221,0.000,0.000,0.010,0.9999,0.514,0.082,0.221,0.000,0.000,0.000,1.000
